parent_station,stop_lon,stop_id,stop_name,stop_lat,location_type
,38.8446898,node/7037183507,Wessen (Mariam),9.0330982,0
,38.8466963,node/7037183508,Kotebe Teachers College,9.0342084,0
,38.8533863,node/7037183509,Yabem Hotel,9.0357649,0
,38.8545188,node/7037183510,Kotebe Gebriel,9.036101,0
,38.8526027,node/7037183513,Yetebaberut,9.0201901,0
,38.8539074,node/7037183515,Yetebaberut,9.0207031,0
,38.8603565,node/7037183516,Meri,9.0207092,0
,38.8610727,node/7037183518,Meri (Yetebaberut),9.0205124,0
,38.8686047,node/7037183519,Ayat,9.0208331,0
,38.8678248,node/7037183520,Ayat Zone 2,9.0210633,0
,38.8606002,node/7037183521,Kara (Turn),9.0379427,0
,38.8640163,node/7037183523,Medhanalem Church,9.0401552,0
,38.852259,node/7037183525,Safari,9.0106828,0
,38.8520658,node/7037183527,Summit (MOHA),9.0043876,0
,38.8513132,node/7037183528,Saint Georgis,8.9955228,0
,38.860685,node/7037183529,Tena Tabeya,8.9941038,0
,38.8582866,node/7037183532,Gate 2,8.9894728,0
,38.8544474,node/7037183533,Summit Condominiums,8.9846055,0
,38.8719812,node/7037183535,Ayat Train Station,9.0213287,0
,38.872594,node/7037183536,CMC,9.0211208,0
,38.8767684,node/7037183537,Ayat Square,9.0212396,0
,38.8862575,node/7037183538,Feres Bet,9.0216916,0
,38.8946069,node/7037183539,Police Tabia,9.0170704,0
,38.891209,node/7037183540,Tsebel,9.0222555,0
,38.8902931,node/7037183541,Bono Meskid,9.0219034,0
,38.8946677,node/7037183542,Ayat Chefe Condominium,9.0113906,0
,38.8944878,node/7037183543,Ayat Chefe Condominium,9.0109368,0
,38.8767662,node/7037183545,Nebu Mikael,9.0023517,0
,38.8851706,node/7037183546,Ayat Adebabay Hulet (2),8.9965746,0
,38.8855436,node/7037183547,Bole Arabsa (3),8.9963324,0
,38.8851362,node/7037183548,Bole Arabsa (2),8.9841602,0
,38.8902717,node/7037183550,Bole Arabsa,8.9733148,0
,38.877919,node/7037183552,Yeka Condominium 1,9.0354891,0
,38.8777819,node/7037183554,Tafo Gebrael,9.0381306,0
,38.8779667,node/7037183555,Tafo Condominium 1,9.0505157,0
,38.8773973,node/7037183557,Tafo Mebrathail,9.0425957,0
,38.877866,node/7037183558,Tafo Mebrathail,9.0427743,0
,38.8779122,node/7037183559,Tafo Condominium 2,9.0465834,0
,38.8705589,node/7037183562,Kara Condominium,9.0501511,0
,38.8647703,node/7037183563,Yeka Abado,9.0666282,0
,38.8737753,node/7037183565,Sara Ampol (Gedera),9.0571811,0
,38.8742538,node/7037183567,Sara Ampol,9.0580264,0
,38.8812971,node/7037183569,Aba Kiros,9.0606875,0
,38.8841651,node/7037183570,Makefafeya,9.0630654,0
,38.8892044,node/7037183571,Gari Tera,9.0670494,0
,38.8938058,node/7037183572,CCD,9.0707009,0
,38.8952147,node/7037183573,140,9.0718221,0
,38.9074861,node/7037183574,Legedadi Mission,9.0818058,0
,38.90832,node/7037183575,Legedadi Mission,9.0821737,0
,38.7771574,node/7041052894,Selam Building,8.8832831,0
,38.7768265,node/7041052895,Gojo Hotel,8.8910809,0
,38.7717989,node/7041052896,Kality Meneharia,8.8958584,0
,38.7668359,node/7041052897,Cheralia Factory,8.9029458,0
,38.7667452,node/7041052898,Cheralia Factory,8.9029223,0
,38.7638335,node/7041052900,Kality Gebriel,8.9113422,0
,38.7633399,node/7041052901,Kality Prison,8.912466,0
,38.7416641,node/7041052912,Hana Maryam,8.928137,0
,38.6590102,node/7041052914,Tabelew,8.9274906,0
,38.6548173,node/7041052915,Ubedi Academy,8.9244259,0
,38.6526472,node/7041052916,Alem Gena,8.9230001,0
,38.652656,node/7041052917,Alem Gena,8.9229882,0
,38.6465912,node/7041052918,Mama,8.9213858,0
,38.73129,node/7041052927,Mekanisa (Old Revenues Office),8.9683942,0
,38.7327236,node/7041052928,German Square,8.9656974,0
,38.7324437,node/7041052932,Gebriel Bridge,8.9556239,0
,38.7327233,node/7041052934,Gebriel Bridge,8.955596,0
,38.7339608,node/7041052935,Mebrathile (EEPCo),8.9469471,0
,38.7341955,node/7041052936,Mekanisa School,8.9790248,0
,38.7339384,node/7041052937,Abo,8.9785916,0
,38.7246092,node/7041052938,Sheged Hotel,8.973373,0
,38.720836,node/7041052939,Jemo Michael,8.9673959,0
,38.7209392,node/7041052940,Jemo Michael,8.966996,0
,38.7152564,node/7041052942,Jemo YBP (All Mart),8.9614893,0
,38.7123763,node/7041052944,Jemmo 1,8.9606358,0
,38.7124284,node/7041052945,Jemmo 1,8.9604074,0
,38.7084697,node/7041052946,Mestawet Fabrica,8.9595125,0
,38.7059934,node/7041052948,Mestawet Fabrica,8.958513,0
,38.6992718,node/7041052949,Jemo 3,8.9564,0
,38.6985348,node/7041052950,Jemmo 3,8.9556244,0
,38.7077567,node/7041052951,Zenebework,8.9866742,0
,38.6713097,node/7041052952,Welete Maryam,8.9611777,0
,38.7272059,node/7041052953,Mickael Bridge,8.9657858,0
,38.689429,node/7041052954,Gerar,8.9813447,0
,38.6851955,node/7041052955,Repi (Gerar),8.9794179,0
,38.7220154,node/7041052957,Gebre Kirstos,8.9773403,0
,38.7228933,node/7041052958,Bisrate Gebrael,8.9884304,0
,38.7488548,node/7041052959,Gofa Gebriel (2),8.9753751,0
,38.7490217,node/7041052960,Gofa Gebriel,8.9771139,0
,38.7772221,node/7041052963,Bole Mickael,8.9816131,0
,38.7560783,node/7041052965,MOHA (Pepsi Factory),8.9822682,0
,38.7600125,node/7041052969,Gotera (Oilibiya),8.9762662,0
,38.7598239,node/7041052970,Gotera (Oilibiya),8.976182,0
,38.7620577,node/7041052975,St. Joseph Church,8.9697308,0
,38.7627885,node/7041052977,kadisco Building,8.9659447,0
,38.762999,node/7041052978,kadisco Building,8.965927,0
,38.7630788,node/7041052979,Kadisco,8.9637596,0
,38.7640609,node/7041052980,Adey Abeba,8.9583017,0
,38.7638459,node/7041052982,Adey Abeba,8.9582595,0
,38.7635583,node/7041071286,Saris (CBE),8.9528662,0
,38.7633266,node/7041071287,Saris (CBE/Shoa Bakery),8.9527596,0
,38.7661044,node/7041071289,Abo Junction,8.9450003,0
,38.7663069,node/7041071290,Abo Junction,8.9450733,0
,38.763132,node/7041071291,Customs (Train Station),8.9380959,0
,38.766627,node/7041071295,Kality Maseltegna,8.9323275,0
,38.7681692,node/7041071296,Wehalemat,8.9298173,0
,38.7478244,node/7041071342,Bulgaria Mazoria,8.9950292,0
,38.7475059,node/7041071344,Begtera,8.9971703,0
,38.7394459,node/7041071347,AU (Mikael) Rounrdabout,8.9990638,0
,38.7395945,node/7041071348,AU (Mikael) Rounrdabout,8.9990569,0
,38.7478465,node/7041071350,Bulgaria,8.9937942,0
,38.7595772,node/7041071352,Global Hotel,8.9941475,0
,38.7598183,node/7041071353,Global Hotel,8.9941836,0
,38.7596352,node/7041071354,Beklo Bet (Global),8.9953383,0
,38.7584812,node/7041071355,Tele Garage,9.000141,0
,38.7586986,node/7041071356,Riche,9.0043253,0
,38.7669535,node/7041071359,6th (Raddison Blu),9.0166957,0
,38.7572645,node/7041071360,Filweha (Hotsprings),9.017718,0
,38.7570579,node/7041071362,Filweha (Hotsprings),9.0175554,0
,38.7574492,node/7041071363,Ghion Hotel (Enterance),9.0137609,0
,38.7576145,node/7041071364,Ghion Hotel (Enterance),9.0138328,0
,38.7591876,node/7041071367,St. Joseph School,9.0098008,0
,38.7592761,node/7041071370,St. Joseph School,9.0104995,0
,38.7590434,node/7041071371,Admas University College,9.0105316,0
,38.7570112,node/7041071372,Lalibela Hotel,9.0118612,0
,38.7560438,node/7041071374,Stadium,9.0121294,0
,38.7545386,node/7041071376,Legehar,9.011849,0
,38.7539285,node/7041071377,Legehar,9.0117857,0
,38.7533069,node/7041071378,Legehar (Old Train Station),9.0109604,0
,38.7461963,node/7041071380,Mexico,9.0097755,0
,38.7414166,node/7041071382,African Union,9.0031416,0
,38.7423863,node/7041071383,Popolare,9.0053059,0
,38.7466748,node/7041071384,Guenet Hotel,9.0046908,0
,38.74694,node/7041071385,Guenet Hotel,9.0032786,0
,38.7334947,node/7041071388,Abenet,9.0214263,0
