route_long_name,route_id,route_type,route_short_name,agency_id,route_desc,route_color,route_text_color
Megenegna Terminal ↔ Legedadi Mission,10400029,3,AB097,AA,,1779c2,ffffff
Megenagna Terminal ↔ Aba Kiros Roundabout,10400258,3,AB101,AA,,1779c2,ffffff
Megenegna Terminal ↔ Ayat Chefe Condominium,10400405,3,AB049,AA,,1779c2,ffffff
Ayat Chefe Condominium ↔ 6 Kilo,10406491,3,AB083,AA,,1779c2,ffffff
Kotebe Teachers College ↔ Piassa Arada,10407732,3,AB010,AA,,1779c2,ffffff
Piassa Arada ↔ Brass Clinic (Bole),10410198,3,AB009,AA,,1779c2,ffffff
Legehar (Old Train Station) ↔ Ayat Chefe Condominium,10441511,3,AB061,AA,,1779c2,ffffff
Shero Meda ↔ Bole Millenium,10458768,3,SH027,AA,,1779c2,ffffff
Shero Meda ↔ Abo Junction,10460046,3,SH028,AA,,1779c2,ffffff
Piassa Arada ↔ Abo Junction,10460168,3,SH016,AA,,1779c2,ffffff
Yeka Abado ↔ Megenagna,10460407,3,SH004,AA,,1779c2,ffffff
Autobis Tera (2) ↔ Alem Bank,10460602,3,SH010,AA,,1779c2,ffffff
Mexico ↔ Haile Garment,10460963,3,A10,AA,,1779c2,ffffff
Kara Kore ↔ Autobis Tera (1),10461811,3,SH040,AA,,1779c2,ffffff
Yerer Goro ↔ Megenagna,10465903,3,D26,AA,,1779c2,ffffff
Mexico ↔ Megenagna,10466290,3,A24,AA,,1779c2,ffffff
Piassa Arada ↔ Mebrat Condominium,10466725,3,C15,AA,,1779c2,ffffff
Sansusi ↔ Piassa Arada,10468435,3,C14,AA,,1779c2,ffffff
Gurara ↔ 4 Kilo,10469388,3,A08,AA,,1779c2,ffffff
Piassa Arada ↔ Dil Ber,10478792,3,C31,AA,,1779c2,ffffff
Shero Meda ↔ Autobis Tera (3),10479678,3,B37,AA,,1779c2,ffffff
Autobis Tera (1) ↔ Abo Junction,10480005,3,B19,AA,,1779c2,ffffff
Mexico ↔ Alem Bank,10480336,3,A09,AA,,1779c2,ffffff
Koye Feche ↔ Megenagna,10521543,3,D52,AA,,1779c2,ffffff
Summit Condominiums ↔ Megenagna Terminal,10521610,3,D25,AA,,1779c2,ffffff
Autobis Tera (2) ↔ Kela,10529108,3,B35,AA,,1779c2,ffffff
Saris Abo ↔ Ayer Tena,10529704,3,B40,AA,,1779c2,ffffff
Yeka Abado ↔ Piassa Arada,10533497,3,C51,AA,,1779c2,ffffff
Megenagna Terminal ↔ Aba Kiros Roundabout,10533758,3,D23,AA,,1779c2,ffffff
Mexico ↔ Lafto,10534180,3,A05,AA,,1779c2,ffffff
Shero Meda ↔ Mexico,10534541,3,A01,AA,,1779c2,ffffff
Piassa Arada ↔ Marathon Motor (Megenagna),10534848,3,C17,AA,,1779c2,ffffff
Autobis Tera ↔ Asko,10535103,3,B22,AA,,1779c2,ffffff
Sefera ↔ Mexico,10541125,3,A04,AA,,1779c2,ffffff
Piassa Arada ↔ Jemmo 2,10541371,3,A18,AA,,1779c2,ffffff
Mexico ↔ Jemo 1,10542001,3,A02,AA,,1779c2,ffffff
Merkato ↔ Ashewa Meda,10542096,3,B35B,AA,,1779c2,ffffff
kera ↔ Addisu Gebeya,10542241,3,C50,AA,,1779c2,ffffff
Hanna Mariam ↔ Legehar (Old Train Station),10547202,3,AB032,AA,,1779c2,ffffff
Yeshi Debele ↔ Autobis Tera,10550063,3,AB018,AA,,1779c2,ffffff
Winget ↔ Ayer Tena (Terminal),10550163,3,AB087,AA,,1779c2,ffffff
Tulu Dimtu ↔ 6 Kilo,10550650,3,AB110,AA,,1779c2,ffffff
Shegole (Mender 7) ↔ Autobis Tera,10551230,3,AB047,AA,,1779c2,ffffff
Sansusi ↔ Autobis Tera,10551231,3,AB028,AA,,1779c2,ffffff
Eyesus ↔ Autobis Tera,10551605,3,AB041,AA,,1779c2,ffffff
Ayer Tena ↔ Piassa Arada,15625520,3,AB003,AA,,1779c2,ffffff
German Square ↔ Autobis Tera,15656246,3,AB034,AA,,1779c2,ffffff
Kality Meneharia ↔ Autobis Tera,16067901,3,AB004,AA,,1779c2,ffffff
kera ↔ Addisu Gebeya,16068007,3,AB006,AA,,1779c2,ffffff
Mexico ↔ Gelan Condominium,16068572,3,AB027,AA,,1779c2,ffffff
Kotebe Gebriel ↔ Arat Kilo,16068674,3,AB033,AA,,1779c2,ffffff
Legehar (Old Train Station) ↔ Kara Kore,16068754,3,AB036,AA,,1779c2,ffffff
Yeshi Debele ↔ St. George Church,16068915,3,AB037,AA,,1779c2,ffffff
Legehar (Old Train Station) ↔ Gurara,16069113,3,AB055,AA,,1779c2,ffffff
Saris Abo ↔ Shero Meda,16069192,3,AB056,AA,,1779c2,ffffff
Legehar (Old Train Station) ↔ Alem Bank,16069231,3,AB058,AA,,1779c2,ffffff
Megenagna ↔ Gurara,16069472,3,AB064,AA,,1779c2,ffffff
Autobis Tera ↔ Alem Bank,16069558,3,AB065,AA,,1779c2,ffffff
